Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,17.423517,17.483271,17.399618,17.435469,4.201569,330536
1970-01-05,17.495220,17.602772,17.495220,17.602772,4.241884,443504
1970-01-06,17.602772,17.638622,17.507170,17.614723,4.244763,510448
1970-01-07,17.614723,17.626673,17.507170,17.626673,4.247648,479068
1970-01-08,17.626673,17.662523,17.566921,17.662523,4.256281,740568
1970-01-09,17.662523,17.710325,17.614723,17.638622,4.250523,612956
1970-01-12,17.638622,17.674475,17.578873,17.578873,4.236126,397480
1970-01-13,17.578873,17.973230,17.578873,17.883604,4.309559,778224
1970-01-14,17.883604,17.949331,17.829828,17.865679,4.305241,410032
1970-01-15,17.925430,18.236137,17.925430,18.236137,4.394512,441412
1970-01-16,18.236137,18.499044,17.638622,17.674475,4.259163,1343064
1970-01-19,16.975382,16.975382,16.706501,16.730402,4.031663,778224
1970-01-20,16.730402,17.065010,16.491396,17.041109,4.106537,1759372
1970-01-21,17.041109,17.041109,16.897705,16.969406,4.089254,989516
1970-01-22,16.969406,17.065010,16.933556,17.017208,4.100775,667348
1970-01-23,17.017208,17.160612,17.017208,17.017208,4.100775,853536
1970-01-26,16.921606,16.921606,16.658701,16.658701,4.014387,728016
1970-01-27,16.527246,16.527246,16.300192,16.503345,3.976948,1138048
1970-01-28,16.503345,16.598948,16.264339,16.300192,3.927991,884916
1970-01-29,16.300192,16.479446,15.977533,16.180689,3.899196,1121312
1970-01-30,16.022346,16.479446,15.977533,16.022346,3.861034,447688
1970-02-02,16.108988,16.395794,16.108988,16.395794,3.951029,826340
1970-02-03,16.395794,16.575048,16.085087,16.407743,3.953908,1188256
1970-02-04,16.407743,16.575048,16.085087,16.407743,3.953908,945584
1970-02-05,16.228489,16.228489,16.001434,16.192638,3.902075,855628
1970-02-06,16.192638,16.503345,16.168737,16.479446,3.971191,736384
1970-02-09,16.563099,16.802103,16.563099,16.718451,4.028782,596220
1970-02-10,16.718451,16.802103,16.467495,16.539198,3.985586,535552
1970-02-11,16.670650,16.969406,16.670650,16.969406,4.089254,610864
1970-02-12,16.969406,16.969406,16.754301,16.826004,4.054702,523000
1970-02-13,16.826004,16.826004,16.610899,16.682600,4.020142,520908
1970-02-16,16.682600,16.766253,16.622849,16.694551,4.023026,433044
1970-02-17,16.694551,16.718451,16.539198,16.718451,4.028782,464424
1970-02-18,16.718451,16.957457,16.706501,16.790154,4.046063,410032
1970-02-19,16.826004,16.945507,16.826004,16.826004,4.054702,679900
1970-02-20,16.826004,16.849903,16.634798,16.706501,4.025905,673624
1970-02-24,16.658701,16.658701,16.467495,16.467495,3.968307,389112
1970-02-25,16.467495,16.682600,16.013384,16.491396,3.974067,1280304
1970-02-26,16.491396,16.491396,16.228489,16.455545,3.965426,594128
1970-02-27,16.455545,16.491396,16.264339,16.264339,3.919350,604588
1970-03-02,16.264339,16.300192,16.001434,16.037285,3.864636,1039724
1970-03-03,16.037285,16.037285,15.917782,15.929732,3.838717,849352
1970-03-04,15.929732,16.001434,15.702677,15.762428,3.798401,1117128
1970-03-05,15.762428,15.869981,15.726577,15.738528,3.792645,673624
1970-03-06,15.732553,15.732553,15.463671,15.547323,3.746565,1161060
1970-03-09,15.296367,15.296367,15.069312,15.141013,3.648654,1527160
1970-03-10,15.224665,15.607075,15.224665,15.607075,3.760963,991608
1970-03-11,15.607075,15.869981,15.535373,15.702677,3.784002,991608
1970-03-12,15.702677,15.714627,15.541348,15.714627,3.786881,673624
1970-03-13,15.714627,15.726577,15.499522,15.499522,3.735047,453964
1970-03-16,15.380019,15.380019,15.224665,15.296367,3.686091,784500
1970-03-17,15.296367,15.487572,15.260516,15.415870,3.714890,832616
1970-03-18,15.415870,15.499522,15.403920,15.403920,3.712009,629692
1970-03-19,15.403920,15.475621,15.356119,15.409895,3.713450,506264
1970-03-20,15.409895,15.439771,15.188815,15.284417,3.683209,765672
1970-03-23,15.284417,15.427820,15.188815,15.391969,3.709131,349364
1970-03-24,15.391969,15.678776,15.391969,15.678776,3.778243,451872
1970-03-25,15.750478,16.108988,15.750478,15.917782,3.835838,1303316
1970-03-26,15.917782,16.013384,15.905832,15.929732,3.838717,470700
1970-03-30,15.977533,16.144836,15.977533,16.097036,3.879037,533460
1970-03-31,16.097036,16.180689,16.061186,16.180689,3.899196,617140
1970-04-01,16.180689,16.276291,16.120937,16.144836,3.890552,546012
1970-04-02,16.108988,16.108988,15.858031,15.869981,3.824319,437228
1970-04-03,15.810229,15.810229,15.571224,15.607075,3.760963,485344
1970-04-06,15.463671,15.463671,15.176864,15.320268,3.691851,935124
1970-04-07,15.320268,15.439771,15.248566,15.296367,3.686091,581576
1970-04-08,15.296367,15.487572,15.272467,15.487572,3.732169,447688
1970-04-09,15.559273,15.798279,15.559273,15.571224,3.752326,642244
1970-04-10,15.571224,16.108988,15.571224,15.846080,3.818559,1566908
1970-04-13,15.822180,15.822180,15.601099,15.630975,3.766725,443504
1970-04-14,15.607075,15.607075,15.356119,15.523423,3.740805,663164
1970-04-15,15.523423,15.630975,15.427820,15.451721,3.723528,466516
1970-04-16,15.451721,15.535373,15.320268,15.332218,3.694729,481160
1970-04-17,15.332218,15.463671,15.272467,15.415870,3.714890,571116
1970-04-20,15.439771,15.571224,15.439771,15.511472,3.737927,458148
1970-04-21,15.511472,15.535373,15.344168,15.344168,3.697608,449780
1970-04-22,15.278442,15.278442,14.961759,14.961759,3.605457,1416284
1970-04-23,14.961759,15.033461,14.794455,14.800430,3.566581,1108760
1970-04-24,14.800430,14.890057,14.627151,14.770554,3.559381,891192
1970-04-27,14.770554,14.818356,14.322419,14.412046,3.472988,1717532
1970-04-28,14.328394,14.328394,13.862333,13.874283,3.343399,2115012
1970-04-29,13.874283,14.388145,13.683078,14.352294,3.458589,2177772
1970-04-30,14.352294,14.352294,14.077438,14.244742,3.432673,966504
1970-05-01,14.244742,14.292543,13.957935,14.184990,3.432095,958136
1970-05-04,14.083413,14.083413,13.479924,13.527725,3.273066,1801212
1970-05-05,13.527725,13.575526,13.336520,13.527725,3.273066,1441388
1970-05-06,13.527725,13.910134,13.408222,13.742830,3.325113,1677784
1970-05-07,13.742830,13.868308,13.742830,13.850382,3.351135,571116
1970-05-08,13.850382,13.886233,13.718929,13.886233,3.359809,560656
