Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,6.209936,6.219952,6.129808,6.139824,1.271843,289536
1970-01-05,6.139824,6.169872,6.059696,6.109776,1.265618,529152
1970-01-06,6.099760,6.099760,5.899439,5.929487,1.228272,443040
1970-01-07,5.949519,6.039663,5.949519,5.959535,1.234496,575328
1970-01-08,5.979567,6.069712,5.979567,6.009615,1.244871,1737216
1970-01-09,6.009615,6.019631,5.859375,5.859375,1.213749,742560
1970-01-12,5.859375,5.879407,5.799279,5.849359,1.211674,505440
1970-01-13,5.849359,5.899439,5.839343,5.869391,1.215824,359424
1970-01-14,5.879407,6.019631,5.879407,5.979567,1.238646,461760
1970-01-15,5.979567,6.029647,5.969551,5.989583,1.240721,334464
1970-01-16,5.989583,5.999599,5.959535,5.959535,1.234496,258336
1970-01-19,5.959535,5.979567,5.849359,5.849359,1.211674,667680
1970-01-20,5.849359,5.879407,5.829327,5.869391,1.215824,449280
1970-01-21,5.869391,5.979567,5.869391,5.929487,1.228272,290784
1970-01-22,5.929487,5.969551,5.909455,5.939503,1.230347,451776
1970-01-23,5.939503,5.959535,5.839343,5.849359,1.211674,476736
1970-01-26,5.849359,5.859375,5.829327,5.849359,1.211674,283296
1970-01-27,5.849359,5.959535,5.849359,5.939503,1.230347,247104
1970-01-28,5.939503,6.009615,5.939503,5.939503,1.230347,545376
1970-01-29,5.939503,5.989583,5.879407,5.879407,1.217898,466752
1970-01-30,5.879407,5.919471,5.799279,5.799279,1.201300,455520
1970-02-02,5.819311,5.919471,5.819311,5.859375,1.213749,1181856
1970-02-03,5.859375,5.889423,5.769231,5.819311,1.205450,657696
1970-02-04,5.819311,5.849359,5.679087,5.819311,1.205450,743808
1970-02-05,5.699119,5.699119,5.538862,5.598958,1.159804,773760
1970-02-06,5.598958,5.669071,5.558894,5.618990,1.163954,260832
1970-02-09,5.618990,5.789263,5.618990,5.618990,1.163954,717600
1970-02-10,5.618990,5.629006,5.528846,5.528846,1.145282,464256
1970-02-11,5.528846,5.679087,5.528846,5.639022,1.168104,449280
1970-02-12,5.618990,5.618990,5.558894,5.608974,1.161879,205920
1970-02-13,5.598958,5.598958,5.468750,5.518830,1.143206,505440
1970-02-16,5.528846,5.598958,5.528846,5.558894,1.151505,501696
1970-02-17,5.528846,5.528846,5.438702,5.498798,1.139057,351936
1970-02-18,5.498798,5.588942,5.498798,5.568910,1.153579,521664
1970-02-19,5.568910,5.629006,5.568910,5.568910,1.153579,534144
1970-02-20,5.568910,5.618990,5.498798,5.498798,1.139057,384384
1970-02-24,5.498798,5.548878,5.488782,5.518830,1.143206,425568
1970-02-25,5.518830,5.598958,5.488782,5.538862,1.147357,433056
1970-02-26,5.538862,5.558894,5.418670,5.508814,1.141131,569088
1970-02-27,5.508814,5.699119,5.508814,5.649038,1.170178,735072
1970-03-02,5.679087,5.789263,5.679087,5.749199,1.190926,425568
1970-03-03,5.749199,5.949519,5.669071,5.929487,1.239501,742560
1970-03-04,5.929487,6.009615,5.929487,5.969551,1.247876,620256
1970-03-05,5.969551,6.039663,5.969551,5.989583,1.252064,550368
1970-03-06,5.989583,6.019631,5.939503,5.959535,1.245781,386880
1970-03-09,5.959535,5.999599,5.859375,5.909455,1.235313,594048
1970-03-10,5.909455,5.929487,5.869391,5.889423,1.231126,308256
1970-03-11,5.889423,5.929487,5.759215,5.759215,1.203907,562848
1970-03-12,5.759215,5.779247,5.709135,5.719151,1.195532,672672
1970-03-13,5.709135,5.709135,5.608974,5.629006,1.176688,520416
1970-03-16,5.629006,5.659054,5.538862,5.538862,1.157845,596544
1970-03-17,5.538862,5.649038,5.528846,5.629006,1.176688,413088
1970-03-18,5.629006,5.649038,5.598958,5.629006,1.176688,326976
